unit_id,ecephys_structure_acronym,stimulus,block,R_tot,tau_R,tau_single,tau_double,firing_rate,median_ISI,CV_ISI,structure_name,layer
951028721,LGd,spontaneous,averaged,0.04700021116600479,0.03729815072177395,0.7847400603720646,0.34071130350367623,9.127693791638597,0.043945312,1.5059061,LGN,NoLayer
951028751,VISp,spontaneous,averaged,0.07391772852202835,0.039075595219502796,0.15763549033626748,0.15763489934454628,0.7522640172729885,0.38232422,1.5449412,V1,2/3
951029356,LGd,spontaneous,averaged,0.041506523070525,0.028767315586863372,0.10197587374593753,0.08700491712875845,1.3453051791449384,0.32470703,1.4167383,LGN,NoLayer
951030551,VISl,spontaneous,averaged,0.11662027135678638,0.16270947155029247,1.3230538983882725,1.3142872562438683,1.3877706309132365,0.18457031,3.2184844,LM,6
951030570,VISl,spontaneous,averaged,0.1409171998465476,0.0937345450503193,3.055615489704246,7.753254201651353,6.2976028313941175,0.06347656,2.9455297,LM,6
951030591,VISl,spontaneous,averaged,0.08049614773157472,0.14484878852105526,1.2288113024749985,0.7511614882178848,4.271585771284884,0.11279297,3.794932,LM,6
951030620,VISl,spontaneous,averaged,0.04989096383163063,0.0,0.42316659705958454,0.4231639656472618,31.306496537342685,0.024414062,0.7752499,LM,6
951030628,VISl,spontaneous,averaged,0.24733296971969204,0.06679114337798124,2.6835074980400737,5.057649627943768,2.53248521515078,0.064941406,7.7459435,LM,6
951030647,VISl,spontaneous,averaged,0.04546337774816554,0.10664711900590933,0.8557003881457624,0.8557170912541163,7.33439882055005,0.08935547,1.3116412,LM,6
951030689,VISl,spontaneous,averaged,0.06509694083312405,0.0,0.5769072172351648,0.5604268325222457,18.532216341201178,0.041992188,0.73239297,LM,6
951030788,VISl,spontaneous,averaged,0.2482891986400746,0.08752399300127812,1.4739565723787096,1.0036506035763346,2.357719518439266,0.064453125,7.5206733,LM,6
951030797,VISl,spontaneous,averaged,0.09424413717155328,0.05955983166906688,0.32711970332170365,0.26020009155731116,0.49345965749780674,0.22631836,1.95358,LM,6
951030824,VISl,spontaneous,averaged,0.25493430040467235,0.030786540760783035,0.16892712427601228,0.08761832348443592,3.175915013358933,0.03125,4.331322,LM,6
951031154,VISl,spontaneous,averaged,0.023645662730552353,0.17850337656230542,1.0496645291392377,1.0496546449829,10.442664625014082,0.067871094,1.0311857,LM,5
951031164,VISl,spontaneous,averaged,0.06362140375397302,0.0709982078310213,1.2526353689794048,1.252748706396735,8.635851056738344,0.091308594,1.1174937,LM,5
951031181,VISl,spontaneous,averaged,0.03016008595403492,0.019493559716316722,0.48527419691773777,0.4852638554085536,8.791398634400213,0.07763672,1.0643814,LM,5
951031235,VISl,spontaneous,averaged,0.05285569712012582,0.15409391374568474,1.0453161463825271,1.0452643514682098,2.1123356976322563,0.20458984,1.7840751,LM,5
951031253,VISl,spontaneous,averaged,0.06427817763868145,0.041657153226067306,0.4373079783393594,0.42761713231510506,16.824985203217278,0.049316406,0.78960234,LM,5
951031263,VISl,spontaneous,averaged,0.024836777336848866,0.05107714140333413,0.6727895585292963,0.18329564346558763,9.210538158185846,0.064941406,1.2436337,LM,5
951031334,VISl,spontaneous,averaged,0.050000728147884844,0.07100166932151536,0.720589313228081,0.7204574571465643,9.036665952719364,0.087890625,0.8439609,LM,5
951031344,VISl,spontaneous,averaged,0.06025294487989363,0.06939408072001539,0.5174081970074841,0.5173777702210917,12.968187621367429,0.0625,0.8066693,LM,5
951031363,VISl,spontaneous,averaged,0.05537341290629583,0.0826007728587708,1.2208081052633086,1.220723161749521,11.69306705765304,0.07421875,0.65953755,LM,5
951031371,VISl,spontaneous,averaged,0.025396586439899276,0.1638380710550585,0.6328237408379692,0.6320381283131083,0.0634415114993144,6.23291,1.8218913,LM,5
951031429,VISl,spontaneous,averaged,0.039912314547606485,0.10259697086174596,0.6365855237012573,0.5682306662777344,4.400147955110815,0.11230469,1.6476102,LM,5
951031458,VISl,spontaneous,averaged,0.04074619639239339,0.117814825151131,0.650443197504557,0.6502738480815657,2.4097611417319214,0.20214844,1.3683137,LM,5
951031514,VISl,spontaneous,averaged,0.10665571837190463,0.0701429693540744,0.8566132384232835,0.582434179915321,4.056624996134337,0.071777344,3.2312508,LM,5
951031522,VISl,spontaneous,averaged,0.06698873975096191,0.06924336953374462,0.3960479891183845,0.3780050723052633,3.0356798400084375,0.11328125,1.9384594,LM,5
951031549,VISl,spontaneous,averaged,0.06636193498062684,0.07997759799491078,0.49689746919697914,0.49690005004353915,2.505399277560896,0.12695312,1.807231,LM,5
951031566,VISl,spontaneous,averaged,0.12291477531082463,0.04482179028826459,0.49997944951223044,0.45164837241745953,0.9156281222389163,0.14135742,2.031819,LM,5
951031582,VISl,spontaneous,averaged,0.04027716176289037,0.08805527954395043,0.4207107869457658,0.42068527175236947,3.38205915181646,0.13671875,1.468924,LM,5
951031591,VISl,spontaneous,averaged,0.07889102038601929,0.08560729422554854,0.8277722009226458,0.827769128774213,2.936685062948438,0.11328125,2.2951508,LM,4
951031697,VISal,spontaneous,averaged,0.07913010248174439,0.00558830344919864,1.5816937438607142,1.259236655657601,31.080415809643295,0.022949219,1.0788285,AL,6
